tweet link,clean text of tweet,Does this tweet contain covid-related stigmatizing language against the people of Asian-descent?,"If you identify the tweet talking about one or more of the topics below, please check them below (multiple answer possible)","If you have a comment, or want to add another related topic that is not listed in task 2, you can mention it here. Also, if the tweet is a duplicate, put ""duplicate"" here.",Labeller ID
https://twitter.com/edent/status/1244159685609078784,"China has an appalling animal welfare record. They eat things we wouldn’t even touch they also skin ; boil animals alive (bats, cats and dogs etc). Unbelievably they have festivals doing this. With the #Coronavirus now crippling the world it’s time these vile actions stop!",not stigmatizing,Wet market and eating habits,,7
https://twitter.com/edent/status/1244311528167419905,Lived in Hong Kong most of early life under then Brit administration. Eating dog meat in winter is a cultural custom in China going back thousands of years to when we were still running around in animal skins. The Brits did not ban it. Nor eating snake soup. Stop mixing it now URL,not stigmatizing,Anti-stigmatizing (talking against hate speech and racism);Wet market and eating habits,,7
https://twitter.com/edent/status/1244395280776257536,"#COVID19 Is killing people throughout the world. China lied, China covered up this virus. China should be sanctioned and made to pay for this devasting attack on humanity. China does not respect human rights, China is evil.",stigmatizing - low,COVID-19 cases and deaths statistics;Information or misinformation,,7
https://twitter.com/edent/status/1244528728757219328,"If the Virus has been transmitted from animal to human that’s solely down to the Chinese and the unhygienic markets and animals they eat so the blame lies fair and square with them. They should be made to pay, either with reparations or economic sanctions in the future",not stigmatizing,International politics;Wet market and eating habits,,7
https://twitter.com/edent/status/1244744433385570310,"Yet oddly you decide to live in the US? Strange isn't it? You have an aversion to eating rats, cats, bats or dogs to survive in that shit hole you call China? 1 billion people in China would give their left tit/nut to live in the US! Only a liberal ""useful idiot"" promotes China!",unknown/irrelevant,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1244577290060587008,"If you wanna BAN then ban eating Wild Animals like Bat Pangolin Rat etc
 Also that Infamous Yulin, in whic dogs ; cats are boiled alive.
 #WuhanVirus",not stigmatizing,Wet market and eating habits,,7
https://twitter.com/edent/status/1244689458093379584,"The whole world has stopped because of Coronavirus Lockdown. There is silence in the streets and fear in the heart. But in the meantime, a big news is coming about #China that the sale of bats, cats, dogs and frogs meat has started again.
 #ChinaVirus #COVID19 #COVID2019india",not stigmatizing,News;Wet market and eating habits,,7
https://twitter.com/edent/status/1244447000881315840,"We also want to know the truth about the flu in US this season. As Chinese bear too much of the accusations of eating wild animals, even most of us don’t eat the bat, snakes, dogs, frogs, monkeys, tigers, turtles, pandas ...... URL",not stigmatizing,Anti-stigmatizing (talking against hate speech and racism);International politics;Wet market and eating habits,flu,7
https://twitter.com/edent/status/1244466160986468353,"Wuhan virus pandemic. So early China Regime lied,killed and WHO ‘s chief covered it. People died under the China cheating. Who pay to her family. Think about linking to China New Silk Road that will devastate the tradition of Freedom. Wake up No 5 G Huawei China URL",not stigmatizing,Chinese government (Chinese communist party - CCP),"WHO, silk road, huawei, 5G",7
https://twitter.com/edent/status/1244584131104837632,Amongst a global pandemic bred from bats and other wild animals from China’s wet markets here in Cameroon.... #Covid_19 #coronavirus #Cameroon #monkey #snake #dog #Coronavirustruth #StayHome URL,not stigmatizing,Information or misinformation;International politics;Wet market and eating habits,,7
https://twitter.com/edent/status/1244585114127888384,"China virus origin Wuhan started all buisnesses including selling of meat of bats, dogs, snakes, donkeys, rats, cats. Knowingly doing it #Coronavirus URL",not stigmatizing,Information or misinformation;News;Wet market and eating habits,,7
https://twitter.com/edent/status/1244864796953997317,"China should pay reparations for every death caused by the Communist Party #coronavirus coverup. China should be subject to crippling sanctions like Iran or North Korea. And if they still refuse, we should threaten the Three Gorges Dam. Then the damage might be comparable.",not stigmatizing,Chinese government (Chinese communist party - CCP),sanctions,7
https://twitter.com/edent/status/1245128631267069952,"Until China implements a true FDA mechanism in their govt, begins to follow WHO guidelines, ; stops eating wild rats, bats ; cats, as well as domestic dogs; (they pass disease) US needs to substantially alter trade w/China. Past 20yrs, most infectious disease came from China. URL",not stigmatizing,International politics;Wet market and eating habits,WHO,7
https://twitter.com/edent/status/1244987971021033473,Nobody is talking about the fact that COVID-19 was caused by Chinese people eating what never should be eaten by humans. They also caused SARS. Later the world should boycott China until strict new laws are enforced imprisoning those who deal in/eat cat bat rat pangolin etc.,stigmatizing - low,Wet market and eating habits,SARS,7
https://twitter.com/edent/status/1245075989031354368,Chinese wet markets open up again .... sale of bats snakes cats dogs and other animals start again. #Covid19India #COVID19,not stigmatizing,News;Wet market and eating habits,,7
https://twitter.com/edent/status/1244801254863196160,"Dictatorship of Communist China was always the one to blame.
 Dr Li is indeed a victim killed by both #coronavirus and #CCP. 
 Hope it could raise the alarm of how #China could threaten the safety of world: the cover up, corruption with ; suppression of freedom. #MakeChinaPay URL",not stigmatizing,Chinese government (Chinese communist party - CCP);Information or misinformation,,7
https://twitter.com/edent/status/1245175682532904960,Shame on you Lindsey for laughing about China and their dog and cat meat trade. This gruesome sick evil culture by torturing and cooking these poor animals a live. This wet market as you call it is deplorable. Shut the hell up and your do nothing attitude. URL,not stigmatizing,Information or misinformation;International politics,,7
https://twitter.com/edent/status/1245288911972306944,"This is China ! They should shut down the disgusting wet market! Millions of dogs are skinned alive there ! The kill and eat endangered wild animals . They are a disgraceful inhuman race! SARS n111, corona all came from there. We should stop all trade until its closed down. URL",stigmatizing - medium,Wet market and eating habits,SARS,7
https://twitter.com/edent/status/1245490893232234497,"I will not buy anything from China and after hearing about bat soup and cats and dog meat, I am leery about eating at Chinese restaurants too! This is a big eye-opener!",stigmatizing - low,Wet market and eating habits,,7
https://twitter.com/edent/status/1245357229017927681,"Good that the Wuhan wet market has reopened. But prices of rats, cats, dogs and snakes have gone up very high. 
 Prices of Bats is almost double, and cockroaches, lizards and dead monkeys from Wuhan virology lab are in short supply.
 

 #XiJinping #CCP 
 #ChinaLiedPeopleDied #CCPVirus",not stigmatizing,Wet market and eating habits;Wuhan virus lab,,7
https://twitter.com/edent/status/1245213846702305283,"Chinese people please stop killing dogs ; cats! They’re not meant to be eaten this is EVIL, CRUEL ; disgusting. There’s so much other food available to eat! Stop eating our companions ; creatures🚫😤 So many have died because of China this year!! 💔 #SpreadAwareness #Coronavirus URL",not stigmatizing,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1245343069282512896,"China cant hide the fact about it and blaming other country due to their cultures killing dogs, cats, bats, snakes, etc for food.
 

 [url=URL
 

 [url=URL",stigmatizing - low,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1245471671038791680,"#BreakingNews from 深圳 Shenzhen #China, a law has been passed that prohibits people from eating #wildlife animals incl bats, cats ; dogs. 
 

 War on #Covid19 requires worldwide cooperation -- banning consumption of 🦇😸🐶 is a one of many measures to be taken to win this holy war.",not stigmatizing,Information or misinformation;News;Wet market and eating habits,,7
https://twitter.com/edent/status/1245479837525053442,"Per Tucker Carlson report the breed of Bat linked too Coronavirus has not ; is not sold in their Wet Market
 

 The only place that Bat has been is in the Communist Biological Warfare lab in that city
 

 Logic says this Virus is a Chinese engineered weapon of Mass Destruction URL",stigmatizing - low,Bio-weapon;Chinese government (Chinese communist party - CCP);Information or misinformation;Wet market and eating habits;Wuhan virus lab,,7
https://twitter.com/edent/status/1245182711142256643,"China's wet animal market in Wuhan back in business eating bats and rats again, the origin of the new coronavirus is the wild life sold illegally in a Wuhan sea food market. #COVID19 URL",stigmatizing - low,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1245189250745860096,"Melania please look into the China wet shops where they keep and kill all kinds of animals including near extinct big cats and foxes. Kept in little cages bats and dogs boiled alive, kaola bears snakes etc. some people believe it is where the virus came from. It is so cruel and d URL",not stigmatizing,Information or misinformation;International politics;Wet market and eating habits,,7
https://twitter.com/edent/status/1245440454025531399,"CCP is just evil. Chinese propaganda to spread the so called “racist” criticism and fake news.
 We must learn a lesson. Communist China’s censorship ; cover-up hv magnified #Coronavirus outbreak from the start, which threatened the safety of whole world.
 URL",not stigmatizing,Chinese government (Chinese communist party - CCP);Information or misinformation,,7
https://twitter.com/edent/status/1245547688462094341,And with this bat eating Chinese pandemic is over I want the world to have China pay for it. I will run for the highest office in the US until this fucked up country eliminates wet markets eating vermon. Anything made in this shit hole will get a respirator per populas tax.,stigmatizing - low,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1245564599866404869,"China is to blame.
 

 The oppressive Communist Chinese government starved their peasants (people outside of the walls) to the point that they have to eat rats, snakes and bats. Sad!
 

 The world should demand reparations from China (Bank account transfers only; no physical checks).",not stigmatizing,Chinese government (Chinese communist party - CCP);Wet market and eating habits,,7
https://twitter.com/edent/status/1245756778173923329,"The Chinese city of Shenzhen has become the first city to put ban on sale and consumption of dog and cat meat.
 Earlier, China has also put a strict ban on eating and farming of wild animals in the wake of the coronavirus pandemic.
 #Revolution🙏🥀 URL",not stigmatizing,Information or misinformation;News;Wet market and eating habits,,7
https://twitter.com/edent/status/1245605464978550789,"China’s Shenzhen bans cat and dog meat and consumption of wild animals, I’m sorry but covid -19 hasn’t come from them dirty cunts eating everything that moves, them horrible fuckers have been doing that for years and will continue to do so #Coronavirus",stigmatizing - medium,Information or misinformation;News;Wet market and eating habits,,7
https://twitter.com/edent/status/1245678491808542722,"CORONAVIRUS: Chinese Govt bans residents from eating rats, bats, cats, dogs, snake, frog and others URL URL",not stigmatizing,News;Wet market and eating habits,,7
https://twitter.com/edent/status/1245684334620585984,"You Chinese eating habits are disgusting and worst, even your habits of eating of wild ,cow ,cat ,snake bat, are main reason to spread Virus..now you spread it to world and the world r dieing and u get order for medical supplies and give substandard materials.....grt plan👹👹👺",stigmatizing - low,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1245600130192920576,"Eating cats ; dogs to be BANNED in a chinese city
 Is it a lesson learned from #COVIDー19 
 But ⁉️ 
 With Wildlife being ""reservoir"" of pathogens, what about
 ➡️banning wildlife trade in wet markets
 ➡️ banning consumption of bats, snakes, civets
 ➡️strengthening disease detection URL",not stigmatizing,Information or misinformation;News;Wet market and eating habits,,7
https://twitter.com/edent/status/1245627073667850248,"Chinese city bans eating dogs and cats in response to coronavirus URL #FoxNews
 

 NO MORE DOGS ; CATS USED FOR MEAT! FARMS
 

 SHUT DOWN! 2003 SARS OUTBREAK BELIEVED
 

 TO BE RELATED TO EATING WILD ANIMAL MEATS!",not stigmatizing,Information or misinformation;News;Wet market and eating habits,SARS,7
https://twitter.com/edent/status/1245649485272764416,"I'm Chinese. Never ate dogs, cats, bats or any wild animals. Neither do my family or any friends I know. Only a few people eat those things.
 

 P.S. I don't think the coronavirus originates from bats eating.",not stigmatizing,Anti-stigmatizing (talking against hate speech and racism);Wet market and eating habits,,7
https://twitter.com/edent/status/1245754249218318337,"Shenzhen becomes first Chinese city to ban eating cats and dogs.
 

 ""It comes after the coronavirus outbreak was linked to wildlife meat, prompting Chinese authorities to ban the trade ; consumption of wild animals.""
  URL",not stigmatizing,News;Wet market and eating habits,,7
https://twitter.com/edent/status/1245783076522692608,"Shenzhen becomes first Chinese city to ban eating cats and dogs. It comes after the coronavirus outbreak was linked to wildlife meat, prompting Chinese authorities to ban the trade and consumption of wild animals. 
 URL",not stigmatizing,News;Wet market and eating habits,duplicate,7
https://twitter.com/edent/status/1245832430969212930,"Chinese wet markets have reopened and continue to sell animals such as bats, cat and dogs. This reopening comes despite Chinese authorities banning the sale and consumption of wild animals in February following the global novel coronavirus outbreak.
  URL",not stigmatizing,News;Wet market and eating habits,,7
https://twitter.com/edent/status/1245523685449936896,"The Shenzhen law obviously also includes bats, pangolins and other wild animals already covered in the new national regulation. Thing is It goes further and bans the sale of dogs, cats and the like even if they’ve been bred for slaughter. #coronavirus #China #Covid19",not stigmatizing,Information or misinformation;News;Wet market and eating habits,,7
https://twitter.com/edent/status/1245662761188839424,"Shenzhen becomes first Chinese city to ban eating cat and dogs. It comes after the coronavirus outbreak was linked to wildlife meat, prompting Chinese authorities to ban the trade and #consumption of wild animals. URL #China #Coronavirus #Covid19",not stigmatizing,News;Wet market and eating habits,,7
https://twitter.com/edent/status/1245729241108549633,"Good decision! What about bats,snakes ; other wild animals!! 
 

 The Chinese city of Shenzhen has banned the eating of dogs and cats as part of a wider clampdown on the wildlife trade since the emergence of the new #coronavirus. #China 
 

 URL",not stigmatizing,Information or misinformation;News;Wet market and eating habits,,7
https://twitter.com/edent/status/1245997137025888260,"#拡散 #犬肉 #猫肉
 #dogs #cats 
 #bats #pangolins 
 #COVID19 
 #China #Vietnam #韓国
 #YulinDogMeatFestival 
 #BanLiveAnimalMarkets
 #BanWetMarkets 
 【 #署名】
 「PR #China Government: Wild animal markets and dog and cat meat trade must end by law」 ▶️URL",not stigmatizing,Wet market and eating habits,,7
https://twitter.com/edent/status/1246107909101989888,"Wuhan wet market has reopened. But prices of rats, cats, dogs and snakes have gone up very high. 
 Prices of Bats, cockroaches, and lizards are double. And dead monkeys from Wuhan virology lab are in short supply.
 

 #XiJinping #CCP #XijinpingVirus 
 #ChinaLiedPeopleDied #CCPVirus",not stigmatizing,Information or misinformation;News;Wet market and eating habits,duplicate,7
https://twitter.com/edent/status/1246050308532441088,"#covid19 Hoax, or worse than we all think?
 

 Is it a Bio Weapon?
 

 Did Chinese Red Army 'students' in Western labs steal it and smuggle it to China?
 

 Or is this all a control mechanism to reset the World Economy and Social Structure? #VirtualWorldon5G ?
 

 Or is it a natural plague? URL",not stigmatizing,Bio-weapon;Chinese government (Chinese communist party - CCP);International politics,5G,7
https://twitter.com/edent/status/1245927910784954373,"The 2009 swine flu came from US people eating pigs. COVID-19 came from Chinese people eating bats. Eating any animal sometimes spreads diseases, not just bats.
 

 Saying eating bats is the problem is racist. Just because y’all don’t eat bats doesn’t mean it’s THE problem...",not stigmatizing,Anti-stigmatizing (talking against hate speech and racism);Wet market and eating habits,,7
https://twitter.com/edent/status/1246008810050748417,"Wuhan wet market has reopened. But prices of rats, cats, dogs and snakes have gone up very high. 
 Prices of Bats, cockroaches, and lizards are double. And dead monkeys from Wuhan virology lab are in short supply.
 

 #XiJinping #CCP #XijinpingVirus 
 #ChinaLiedPeopleDied #CCPVirus",not stigmatizing,Information or misinformation;News;Wet market and eating habits,duplicate,7
https://twitter.com/edent/status/1245962593111609344,"China is fucking cancelled! How does the WHO not do anything about their dog, animal and creature meat industry? Why are we letting them get away with this shit? Millions die each year ; have caused human deaths through viruses aswell. Can China stop being so heartless for once?",stigmatizing - low,COVID-19 cases and deaths statistics;International politics;Wet market and eating habits,WHO,7
https://twitter.com/edent/status/1245984261032701952,"First,the majority of Chinese people dont eat such animal you just said,especially cat,bat and snake,second the COVID19 isnt caused by habit of eating wild animal accoding to scientific research.",not stigmatizing,Anti-stigmatizing (talking against hate speech and racism);Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1246025750995767296,"Fkn chinese .....WILD ANIMAL MARKETS ....WHAT THE FUCK 
 They should be left but stupid greedy folk ..who think that if they eat them they will gain fkn super powers or summat should be cracked down on BIG TIME 
 Same as dog slaughter n cat slaughter...WHY THE FUCK YOU EATING DOGS URL",stigmatizing - medium,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1246160547676110849,"also didn't some STIs start from sex with sheep and cattle? (I could be wrong)
 

 there is no difference between eating a cow, a dog, a monkey, sea creatures, frogs, whatever. people* say Asians eat weird meat and yell covid-19 but silence at most animal borne diseases
 

 *racists",not stigmatizing,Anti-stigmatizing (talking against hate speech and racism);Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1246425908359069697,"The words God forsaken were just redefined! The entire thing felt like an episode of Watchmen with Rorschach trying to connect eating bats ; pangolins to CCPs lies to Italy dying, South Korea #31 doomsday cult, Trump’s Hoax, Indian lockdown, Toilet paper wars, human hoarding! /1",not stigmatizing,Chinese government (Chinese communist party - CCP);Donald Trump;Information or misinformation;International politics,,7
https://twitter.com/edent/status/1246528614604177409,China has to be isolated from the world. No travel no trade until #china can be trusted not to infect the world again. #China has to pay for its #COVID19Pandemic The world can no longer afford #China its eating habits ; arrogance treating the world as lab rats #Virus #madeinchina URL,stigmatizing - low,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1246545802274705410,China has to be isolated from the world. No travel no trade until #china can be trusted not to infect the world again. #China has to pay for its #COVID19Pandemic The world can no longer afford #China its eating habits ; arrogance treating the world as lab rats #Virus #madeinchina,stigmatizing - low,Information or misinformation;Wet market and eating habits,duplicate,7
https://twitter.com/edent/status/1246363325396467713,"Australia Is fighting AGAINST Chinese Wet Marker Yes the place where corona Started Where you can eat dogs cats SHARKES bats CROCODILES octopus spiders And more the wet market was Opened once again this week ! These Chinese Fuckers never change 
 #banwetmarkets",stigmatizing - medium,Information or misinformation;International politics;Wet market and eating habits,,7
https://twitter.com/edent/status/1246375158022983681,Communist party of China cannot be trusted simple. Countries need to stop sucking up to them. They lie cover things up lock up I million Muslims and harvest organs of prisoners sick evil . They have a biological weapons FACILITIES in wuhen. We are not stupid people URL,not stigmatizing,Bio-weapon;Chinese government (Chinese communist party - CCP);Chinse Uyghur Muslims;Wuhan virus lab,,7
https://twitter.com/edent/status/1246340340308639746,"The bat soup story was the v1 propaganda cover story from the CCP, before they switched to blaming America. It wasn’t bats in a market. It wasn’t America. It was a leak from the lab where they were making GM corona viruses for published research.",not stigmatizing,Chinese government (Chinese communist party - CCP);Information or misinformation;International politics;Wet market and eating habits,,7
https://twitter.com/edent/status/1246335119813742592,"Get rid of wet markets and stop eating cats, dogs, bats and other exotic creatures. China = SARS, bird flu, H1N1, coronavirus ... Go away. Liars",stigmatizing - low,Information or misinformation;Wet market and eating habits,"SARS, bird flu, H1N1",7
https://twitter.com/edent/status/1246577214361042944,"#Coronavirus
 Chinese caused coronavirus they should be FORCED to pay $1trillion in compensation.
 Eating pangolins, bats, dogs and cats is a medieval practice.
 Fuck off China.",stigmatizing - low,Wet market and eating habits,,7
https://twitter.com/edent/status/1246271891159031809,Should the rest of the world throw China out of the global community if they don't shut down the wet markets once and for all! And stop eating dogs and cats and rats and bats! #COVID19 #CoronavirusPandemic #Covid_19,not stigmatizing,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1246353799867965440,China can go F themselves. Whether it was their twisted scientists experimenting with bat viruses in the Wuhan Lab or sick fuckers eating bats from wet markets. China must pay when this shit is over. They're done as any world leader. URL,stigmatizing - medium,Bio-weapon;Information or misinformation;Wet market and eating habits;Wuhan virus lab,,7
https://twitter.com/edent/status/1246513542918025216,"Exactly... But not dogs, cats, bats, frogs, snakes, Pangolins etc... The population in China that eat these animals are putting lives at risk...thus, #CoronaVirus",not stigmatizing,Wet market and eating habits,,7
https://twitter.com/edent/status/1246805413225512966,Keep eating your cats and dogs and bats you sick losers. Fuck communism. The Chinese lied and always lies. Quit doing business with China.,stigmatizing - low,Chinese government (Chinese communist party - CCP);Wet market and eating habits,,7
https://twitter.com/edent/status/1246679455059152896,"Oh and because Twitter is full of idiots... I'm not saying Coronavirus is a good thing. It's a horrible Pandemic caused by the ineptitude of the Communist government in China that allows people to openly butcher and eat cats, dogs, rats, bats, civets, and anything else that moves",not stigmatizing,Chinese government (Chinese communist party - CCP);Wet market and eating habits,,7
https://twitter.com/edent/status/1246626891353804800,"Chinese, Koreans, Vietnamese, Philippinos , etc., eat exotic animals, rats, bats, snakes and brought nasty killing diseases to the whole world, SARS, COVID-2, Coronavirus, etc., and won't stop until they kill everyone on the face of this earth.",stigmatizing - medium,International politics;Wet market and eating habits,SARS,7
https://twitter.com/edent/status/1246627076226121729,"Those Chinese, Koreans, Vietnamese, Philippinos , etc., eat exotic animals, rats, bats, snakes and brought nasty killing diseases to the whole world, SARS, COVID-2, Coronavirus, etc., and won't stop until they kill everyone on the face of this earth.",stigmatizing - medium,International politics;Wet market and eating habits,duplicate,7
https://twitter.com/edent/status/1246719250225659904,China has to be isolated from the world. No travel no trade until #china can be trusted not to infect the world again. #China has to pay for its #COVID19Pandemic The world can no longer afford #China its eating habits ; arrogance treating the world as lab rats #Virus #madeinchina,stigmatizing - low,Information or misinformation;International politics;Wet market and eating habits,,7
https://twitter.com/edent/status/1246914528065081344,"#ChinaWetMarkets eat skinned dogs, cats, raccoons, rats, bats, snakes ; more unimaginable vermon.
 

 #ShutItDown says has tried but is so hard.
 

 Take their arses to a #Goulog that will change their tune.
 

 SHUT IT DOWN CHINA OR U.S. WILL REALLY TARIFF U",stigmatizing - low,Information or misinformation;International politics;Wet market and eating habits,,7
https://twitter.com/edent/status/1246701750234431489,"People who eats meat of dog and cats, bat soups, penis of sheeps and lambs, and uses bear bile, flying squirrel poop and silkworms dung are lecturing others. Rofl !! 😹
 Set your house in order first !!
 #chineseVirus #China #WuhanCoronaVirus #freeChinafromCPC #Xijinping URL",stigmatizing - low,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1246880588814004224,"Hey bimbo Thank the gross, nasty Chinese who eat dogs, cats, bats and snakes. President Donald Trump has nothing to do with this, if you’re gonna get angry, get angry at the Chinese coronavirus who are killing us.",stigmatizing - low,Donald Trump;International politics;Wet market and eating habits,,7
https://twitter.com/edent/status/1246683937000185858,"So a naturally occurring virus, possibly it’s mutation occurred in a lab. Not so far from a live bat soup eating part of society in Wuhan 🇨🇳 ?This virus is released upon the world. China controls, 🇮🇹 dies, we all fear, 🇺🇸 🇨🇦 🌎 🏃 #covid19 #RigForRed #nothingcanstopwhatiscoming",stigmatizing - low,Bio-weapon;International politics;Wet market and eating habits;Wuhan virus lab,,7
https://twitter.com/edent/status/1246759819123593223,"China should be made to shut down all wild animal markets, end bear bile ; dog ; cat meat trade ; pay £351 billion into our NHS #COVID19 URL",unknown/irrelevant,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1247298252631769089,"Why is it racist calling it the Wuhan virus? Didn’t it supposedly start in the Wuhan wet markets where bats, dogs, cats etc are purchased to be eaten. No it should be known as the Covid-19 virus and China isn’t responsible - not.",not stigmatizing,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1247103272395198464,"Also why ?... Huge cover up on Harvard chem Professor arrest lies fraud 
 Scandal w 2 assistants Chinese army criminal spies who smuggled vials of 
 Test tube vials with Biological 🧬samples to Wuhan Virology lab in China 🇨🇳 ?  
 Need full investigations demand full transparency!",not stigmatizing,Bio-weapon;Information or misinformation;Wuhan virus lab,Harvard,7
https://twitter.com/edent/status/1247023219783147530,"Learn how to eat and all but snakes, scorpions, bats, dogs and cats, and then talk to the world the Chinese virus has destroyed and killed the world",stigmatizing - low,Wet market and eating habits,,7
https://twitter.com/edent/status/1246988536747683840,"A domestic cat in Europe got it too. Now tigers in the U.S. I wouldn't be surprised if COVID-19 originated from ""wet markets"" in China where they slaughter cats, dogs, primates, rodents, poultry, fish, meat, pork. They use the same knives to kill all these animals, sick and cruel URL",not stigmatizing,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1247067909488349185,"Ambassadors and Xi, instead of spreading propaganda about our shared values go and clean out the wet meat markets and stop eating snake rats bats pangolins. The next virus from china will be the end of Chinese civilisation. URL",not stigmatizing,Information or misinformation;International politics;Wet market and eating habits,,7
https://twitter.com/edent/status/1247083256719310850,"Get angry and want to blame the #Chinese for #Coronavirus. Because I hate this death and economic destruction. This anger may be irrational, making me look racist. But do people really need to indulge eating bats, dogs, cats. And other crap like ivory trade etc.. FFS.",stigmatizing - low,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1247116964717158402,Whether the origin of #COVID19 is a bat or a pangolin or some other wild animal or even biological warfare is not yet known. But ever wondered why Chinese have such big appetite for wild animal meat? 1/n,not stigmatizing,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1247017609368940544,"Can anyone tell me if the #Chinese actually eat dogs and cats? 
 

 I’ve been researching about the wet markets and all it keeps coming up with is wild animals like porcupine, soft shell turtle and so on..... 💭 #CoronaVirus #Covid_19 #China #ChineseVirus #wetmarkets #Wuhan #uk",not stigmatizing,Information or misinformation;Wet market and eating habits,,7
https://twitter.com/edent/status/1247018650881552384,Lets put an end to this disgusting and disturbing sale of wild animals at wet markets and the torture of dogs and cats for meat now in Asia where this #coronavirus began. URL,not stigmatizing,Wet market and eating habits,,7
https://twitter.com/edent/status/1247378506272538624,"Bloody filthy chinese eat dogs, cat, pangolin, bat, snake, bear, monkey, tiger, human foetus , insects..Etc etc ... China gave this Chinese virus to world. 
 Only dumb believes China now. Boycott Chinese goods.",stigmatizing - medium,International politics;Wet market and eating habits,,7
