tweet id,clean text of tweet,Does this tweet contain covid-related stigmatizing language against the people of Asian-descent?,"If you identify the tweet talking about one or more of the topics below, please check them below (multiple answer possible)","If you have a comment, or want to add another related topic that is not listed in task 2, you can mention it here. Also, if the tweet is a duplicate, put ""duplicate"" here.",Labeller ID
https://twitter.com/edent/status/1243203059980873728,"Happy to hear China has reported no new pandemic cases for five days in a row! 🌼 
 .
 .
 .
 #Covid19 #Coronavirus #AvoidContact #StayAtHome #StaySafeStayHeathly #WeAreAllInThisTogether #AloneTogether #BeTheChange #FlattenTheCurve #MotivateOthers #LeadByExample #WeCanDoThis URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1238608275366707203,"I make all the decisions here. I am the #StableGenius. Oh, wait a minute, no, I didn't do it. I know nothing about it. I don't take responsibility.  
 Coward answer from an incompetent leader. 
 #TrumpPressConference #NationalEmergency #coronavirus # URL",not stigmatizing,Donald Trump,,17
https://twitter.com/edent/status/1239082778089664512,"Insane how a single episode is exposing all of Trump's incompetence, paranoia, ignorance, prejudice and wickedness. He can't bully or rig #Covid19 into submission and Russia can't help this time. He's a bigger pandemic than the virus and all are seeing it! URL",not stigmatizing,Donald Trump,,17
https://twitter.com/edent/status/1238234618827911170,"#Coronavirus’s economic danger is exponentially greater than its health risks. If the virus does directly affect your life, it is most likely to be through stopping you going to work, forcing your employer to make you redundant or bankrupting your business
 URL",not stigmatizing,Other,economy,17
https://twitter.com/edent/status/1248028307553234949,"“Crush the curve” sounds great but there will be enormous pressure to ease restrictions when case counts decline. We will need free and rapid testing for everyone with #COVID19 symptoms, and we need many voluntary isolation facilities for those infected. Time to start is now. URL",not stigmatizing,Other,economy,17
https://twitter.com/edent/status/1244350971855147010,"...federal states. How come the other indicators point in the same direction? My point is, don't dismiss data points overall just because one measurement is flawed, look for alternatives, look for proxies and see whether trends and comparisons are plausible. #COVID19
 [END]",not stigmatizing,Other,,17
https://twitter.com/edent/status/1249359339074342914,"I fucking pray to God, the sleeping sheep are peicing this together. This mad power greedy nutjob, FUCKING KNEW this was coming..HOW DID HE KNOW SO MUCH, AND WHY IS WANTING TO BE OUR SAVIOUR
 #coronavirus #COVID19 #vaccines #WAKETHEFUCKUP #5g #VaccineAgenda
 #BillGates",not stigmatizing,Other,,17
https://twitter.com/edent/status/1240305814939807744,take a page out of NY GOV CUOMO play book. Stop the stupid political divide and get to work helping the American people!!! #coronavirus #COVID19 #CoronavirusPandemic #CoronaVirusUpdate,not stigmatizing,Other,,17
https://twitter.com/edent/status/1244567686715244545,Find the owner of the daily mail. He is in France as somewhere. He should be held accountable URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1251092665904648197,"""We're afraid of everyone
 Afraid of the sun
 Isolation
 The sun will never disappear"".
 These times soundtrack #isolation #JohnLennon #coronavirus URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1236572451586412544,"There is going to be a BEFORE and an AFTER the #COVID19 #coronavirus #pandemic. No ones knows how bad exactly the next few weeks ;  months will be, but it is a historical break that changed the world, of that I am certain. 1/ URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1247162650666115073,"The only thing that really matters to #markets is how long does the #shutdown of #society and #business continue? Were it to be short lived, we can look forward to an earlier and fuller bounce back in #economic activity. Read more 👉 URL
 

 #coronavirus #covid19 URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1243527062067044356,This is really important people - standardised collection of case data is NECESSARY for #covid19 prediction models and sharing data is NECESSARY to get big enough numbers URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1241498899153641472,Are you instructing the to control this or is it a unilateral instruction ? URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1247775625697349632,"The truth about the atrocity that is happening to African Americans during #COVID19, and it IS being done by Whites yes, the DNC-Whites of Mark Zuckerberg and #JoeBiden,who also suppress #TaraReade. URL",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1237362522291920896,"If one good thing comes out of this #coronavirus crisis it’s that, I am hoping, it helps to improve individuals personal hygiene. Like washing hands properly and sneezing/coughing in a tissue and binning it!",not stigmatizing,Other,,17
https://twitter.com/edent/status/1247728713791234048,"Because everyone that's considered associated with the #Coronavirus is being guaranteed 100% coverage by the government, regardless of cost. I can't imagine that'll be exploited.",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1242205768138571776,"Coronavirus: Why Iran leader refuses US help? URL
 #COVIDー19 #coronavirus",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1237443937104732160,"On the latest #StarSportPodcast:
 

 - stops by ahead of the #Tokyo2020 qualifiers in London 🥊
 - Libby Coppinger on life as a dual player following the #LGFA congress 🔴
 - The effect of the #coronavirus on local sport😷
 

  
 

 URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1248259227308773377,This is an important and timely statement sending a message of solidarity to low income countries at risk. URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1241889014099128320,#COVIDー19 #coronavirus u must do #SelfIsolation ! full vid at URL URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1250200499258703873,"Here's a link to donate to #COVID19 Solidarity Response Fund since the president has stopped US funding and our country has reported over 25,000 deaths and counting. URL",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1245862537356173322,What has come into sharp focus for me during pandemic is that there is widespread blatant irresponsible reporting and click baiting (through push notifications) by mainstream media in Canada including and It is disappointing and troubling. #COVID19 #COVID19NS,not stigmatizing,Other,,17
https://twitter.com/edent/status/1242070254341275650,The latest MB Today! URL Thanks to #covidー19 #coronavirus,not stigmatizing,Other,,17
https://twitter.com/edent/status/1235614385093201921,"In the future for humanities sake, can we PLEASE not put most of the worlds medicinal drug production in 2 countries next to each other in a part of the world prone to disease outbreaks? A little redundancy please! #Covid19 #UnitedNations",not stigmatizing,Other,,17
https://twitter.com/edent/status/1246830492256620551,"We are with our PM, lets defeat #covid19. #9MinutesForIndia #9बजे9मिनट #9bje9minutes #LightsOfHope #IndiaBattlesCoronavirus URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1237797327303102464,"Oh yes, please, let us all wait until it’s an emergency then all at once we can be sick and go broke. URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1247762320610099201,"As #healthcare organizations face unprecedented resource and financial challenges, how can they focus their response to #COVID19? URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1245487596052062210,"The virus is statewide, but still the Governor won't issue a statewide #ShelterInPlace order. Lagging behind Mississippi again. URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1251769529618903040,Really. You think the Chinese were shutting down entire cities and building new hospitals just for the fun of it? That alone should have signaled to Downing Street to take this virus more seriously. #Covid19,not stigmatizing,Other,,17
https://twitter.com/edent/status/1247922163232972803,"Longer period of #lockdown and increase in the patients of the #COVID19 pandemic has lead to a lot of negativity, amidst all this let's look into the positives which this pandemic has given us. URL
 

 #fightcorona #stayathome #together #staysafe #quarantine URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1242864924436484096,"I request to the WORLD
 

 WITHOUT DELAY SUSPEND 
 NOTE CURRENCY 
 

 to CONTROL #CORONAVIRUS 
 Along with #LockedDown DOWN 
 

 And take the ayurveda cough syrup HAVING TULSI,CLOVE,CINNAMON;  TURMERIC 
 alongwith 
 Alprazolam 0.25 until fitness from COVID-19
 It increases brain ability URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1252065098245365761,I can't with people 🤦🏽‍♀️ URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1236941942522552327,"We've taken the decision to stop sharing a common cup at Communion and the handshake/hug moment of the Peace in this #coronavirus season. It's been on folk's minds, and it's obvious from comments that now they can just get on and focus on their worship.
 #Plymouth URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1238653126585942016,We’re the shithole country now URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1238594996288225280,"OK #coronavirus , the positive side. Is there a hashtag #coronavirusPositive ? This happened in Wuhan 3-4 weeks ago. URL Now it's spreading. Notes for those who need to know. Napoli 'caro e profano a braccetto' (sacred ;  secular arm-in-arm) .../2",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1247790184600461314,"has written about the deep resentment that having a bullshit job breeds and it's hard not to see this genre of media reports shaming essential workers for going to work as a manifestation of that. Get over yourselves, people! URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1240303169009332225,An example of #COVID2019 containment from #China. Meticulous #tracking to prevent the spread of the virus. #contacttracing is also known to be used in Singapore. URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1241215285253693440,"More than a million people in the tourism industry could lose their jobs with estimated loss of Bt1 trillion if the Covid-19 pandemic continues, Tourism Council of Thailand (TCT) president said. #Covid19 #Tourism #Thailandnews #TheNationThailand
 

 URL",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1242327722614853632,"we must, again we must, test everyone that falls in the high-risk groups (&gt; 65yrs w comorbidity etc.) and separate them from the rest. we are a young nation, unlike japan and italy, are better placed to do this and contain the epidemic. #COVID19 #Epidemic #Covid19India",not stigmatizing,Other,,17
https://twitter.com/edent/status/1240399218285707270,"Kenney encourages those feeling depressed to reach out to friends, family members and mental health support services. That number: 1-877-303-2642 #ableg #cdnpoli #covid19",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1244326408828137472,Please can someone tell us what is the second flag by #COVID19 representing,not stigmatizing,Other,,17
https://twitter.com/edent/status/1251453322013413377,going by the international standard governing covid-19 this is wrong. but what do I know. 🤷🏾 URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1236538562457358337,#Coronavirus: #Chinese Nationals hired by Ihedioha Abscond From Project Sites In #Imo URL,not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1245579371139584002,"#COVID19 has spread across multiple countries ;  infected many people. I want to do what I can to help,serve the people. We are Developing Apps from the group of #WomenEntrepreneurs, willing to provide this #Accozen Remote App freely to #Govt. Kindly suggest our app #SafetyForAll. URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1236308333478502400,"Let’s talk about #Coronavirus and #cancer. The Centers for Disease Control state the risk of exposure to COVID-19 is low for the United States. While there is no need to panic, we encourage everyone with pre-existing illness to follow the steps from the for safety. URL",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1244144671716184065,"Stay safe
 #covid19
 #GlobalHealth URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1240743692257964043,This list of Essential Critical Infrastructure Workers from DHS is just a list of people we've been told don't deserve living wages/healthcare/any social benefits that even remotely correspond with their importance in society URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1247284695387209728,"It is irresponsible for religious leaders to open the doors of the church Easter Sunday. Playing on worshippers Faith, and always quoting Faith. As all religious holidays are not about Christ but profits. So hear this - FAITH IS THE COMMON SENSE GOD GAVE US! 
 #COVID19",not stigmatizing,Other,,17
https://twitter.com/edent/status/1242269296815779840,Some symptoms stats from our friends in #China #COVID19 #StaySafe #StayHome URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1251978770422079488,"The United States #coronavirus death toll is now passing the 40k mark. None of this had to happen. People who fell victim to this virus were just ordinary Americans, who raised families of their own, worked to better this country, and this is the thanks they get? Sickening.",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1240855761758105601,"How sick can you be to pretend to be A FUCKING DOCTOR and then use that scam rip families apart??  
 

 F U C K.  ICE. URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1254751054404751360,"Thank you to Instructor Danielly for ensuring our community’s safety while the COVID-19 pandemic is taking place. Stay healthy so our officers and all first responders don’t get exposed! 
 We’re still bringing courses to you! Contact us to schedule a webinar! #COVID19 URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1254810031750557696,"From my experience, things do not regress back to a former state following a #pandemic . As we lean in to listen and learn, #patients are telling us exactly what #healthcare must become. We must listen. #COVID19 #PeoplePoweredMedicine #digitalhealth #privacy #choice URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1248720601688223744,"got tears in my eyes watching this, couldnt imagine how awful this must be for the families URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1244492685840248833,"#covid19 Japan March 5.- 55 confirmed cases.
 March 27.-1400 confirmed. 44 deaths
 USA. March 5.- 66 confirmed cases
  March 29.- 121,301 confirmed.
  2,022 deaths. “Japanese eat seaweed”",not stigmatizing,COVID-19 cases and deaths statistics,,17
https://twitter.com/edent/status/1245542074423767040,"Yesterday 387 #COVID19 positive Cases in a Single Day, Highest ever spike in India till today. All credit goes to #NizamuddinIdiots 
 

 #NizamuddinMarkaz #Nizamuddin #NizamuddinCoronaCases #NizamuddinTerrorists",not stigmatizing,COVID-19 cases and deaths statistics,,17
https://twitter.com/edent/status/1242021816266350592,Thankfully thy didn't spend on building temples and statues. This is the what India needs. Every state government should follow AAP's initiatives to make India a better place. URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1243560323690500102,"Saudi Govt : We are suspending prayers at mosques due to #COVID19 outbreak
 

 Saudi Muslims : Ok we are with u
 

 Indian Govt : We are suspending prayers at mosques due to #COVID19 outbreak
 

 Indian Muslims : Nahi nahi Hame G marwani hai jaake police se
 🤦‍♂️
 #lockdown #coronavirusindia",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1253457318198509570,"Any business, corporation, or non-profit that uses the #coronavirus as an excuse to thwart workers’ rights to organize is #union busting.
 

 It is disgusting and un-American.
 

 Workers have the right to collectively bargain that right must be protected. #1u URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1247430442636038151,"Proactive government.
 

 May be the best in the world right now in tackling the corona problem #coronavirus URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1246760968929128449,Anti-Asian hate continues to spread online amid COVID-19 pandemic #あ行で女子力か行で男子力がわかる #SitR追加難波 #CoronaVirus URL URL,not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1243185663605911557,"The global health crisis is also a global political crisis. In #Kosovo, #COVID19 helps bring down a government. We will see more of this. URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1246142776359690240,"so #CoronaVirus 3,000 to 15,000 death potential in Ontario (with mitigation) and 100,000 deaths without mitigation 
 vs 
 actual top ten leading causes of death in Ontario (2009)
 (by way of comparison accidents take about ,000 lives in Ontario every year)
 URL URL",not stigmatizing,COVID-19 cases and deaths statistics,,17
https://twitter.com/edent/status/1238372342587215874,"Media needs to help get out the word to protect healthcare workers and non-COVID19 patients in emergency rooms and routine care settings, such as doctor's offices. It is absolutely critical, if one suspects #coronavirus, to CALL AHEAD. Do NOT walk in unannounced!",not stigmatizing,Other,,17
https://twitter.com/edent/status/1239565180671008768,"""In this difficult situation we open our livestream archives, so that #music lovers all over the world will still be able to enjoy opera and #ballet”, said the #Vienna #Opera.
 

 Read the news in #Spanish.
 

 URL
 

 #PracticaEspañol #COVID19",not stigmatizing,Other,,17
https://twitter.com/edent/status/1249039506919096320,"Another interesting chart which show if you look at trends by per capita or per million
 

 You get a better idea which countries have the biggest issues regarding deaths from #WuhanVirus #Covid19UK #COVID19 
 

 See why MSM do not like these undermines their stories URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1237856808858832896,"If you're lucky enough to still be healthy and earning income these days, consider supporting small businesses, restaurants, and arts organizations losing income from #COVID19. Hope we get policies in place to protect small biz too.",not stigmatizing,Other,,17
https://twitter.com/edent/status/1241808336946892802,"This is such an important point.
 

 Read today that more than 10% of #COVIDー19 cases in Spain are health care professionals and there are already infected health professionals in the UK who got contaged treating patients.
 

 PPE will save many lives directly and indirectly 🙏 URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1245830571156287493,"A real shame that it’s taking hundreds of #COVID19 deaths a day for some senior journalists at major UK broadcasters/papers to realise the British govt’s “herd immunity” strategy, delays, failure to test, PPE shortages, austerity could’ve been avoided ;  should be held to account",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1241193820856832001,#coronavirus is too much lol. I just read a conspiracy theory about Disney predicting this chaos because Rapunzel was quarantined in the Kingdom of Corona.,not stigmatizing,Other,,17
https://twitter.com/edent/status/1244585177004888064,"With the rapid spread of the #coronavirus pandemic, what lessons can we draw from the 2014 - 2016 West Africa #Ebola epidemic? #COVID19 
 URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1238014202335449088,#coronavirus could be doing us a favour.,not stigmatizing,Other,,17
https://twitter.com/edent/status/1244504098323312640,"#Coronavirus: Victim buried without family in Telangana
 

 URL",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1241060425673867264,Patients need ventilators. People need jobs. How quickly can automakers step up without putting workers at risk? #covid19 #ventilators #automotive URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1236008558849748992,"It’s saddening ;  disappointing seeing the rise in Sinophobia, hostility ;  broader anti-Asian discrimination in conjunction with the coronavirus. I offer solidarity to Asian ;  Asian-Australian communities at this time ;  #solidarity to those affected by #coronavirus. URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1251150656473149441,"#WestBengal Health Bulletin by for 17th April,2020. 
 

 22 new #Covid19 cases in the last 24 hours. 4 patients have been cured. Total cases of Active Covid19 now 162. Death toll 10. #IndiaFightsCorona 
 #Covid_19india URL",not stigmatizing,COVID-19 cases and deaths statistics,,17
https://twitter.com/edent/status/1246670942614544386,"From developing drug treatments to predicting the next hotspot, artificial intelligence may help researchers, healthcare workers, and everyday people offset the impact of the coronavirus. #AI #healthcare #COVID19 URL URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1240423172379308032,No members have been activated at this time in support of #COVID19,not stigmatizing,Other,,17
https://twitter.com/edent/status/1239854122041565184,"Just catching up on the Imperial College stuff. 
 

 And well, why are we not at action stations, like, right fucking now? #COVID19",not stigmatizing,Other,,17
https://twitter.com/edent/status/1235561312106745857,"Correcting a few #COVID19 #coronavirus errors I’ve seen circulating on Twitter today. These are the facts:
 

  👉#COVID19 #Coronavirus is not the same as flu
 👉You SHOULD see a dr ;  you should NOT go to work if you think you may have it.
 👉There will not be a vaccine “any day now.”",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1238684629265252352,"Yo and the #YangGang:
 

 So my girlfriend just made a really good point. The #coronavirus is not likely to go away with the change in weather. Australia is hot as f—k, and it’s still spreading. 
 Thoughts on this?
 

 #WeNeedAVaccine
 We need an #EmergencyUBI",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1253725655578992641,How can you manage the impact of #COVID19? #Asia CEOs share their learnings from the #Coronavirus pandemic: #health URL URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1252276837872480263,"Seeing the seriousness of President Idriss Déby and the calibre of weapons deployed by Chad, shows from the onset that #BokoHaram did not stand a chance.
 

 Déby was ready for that battle, they wanted to prove a point. And they did.
 

 #RedefineNigeria 
 #COVID19",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1252762210880884737,"#COVID19 has shut down schools for the academic year. Remote learning will focus on hands-on workshops, practical learning, and topics that engage kids. Is this our opportunity to take back schools from standardized testing?",not stigmatizing,Other,,17
https://twitter.com/edent/status/1240272378296504321,PSA: don’t watch the movie “Contagion” if you want your #coronavirus anxiety to improve... So many eerie similarities! #contagionmovie #CoronavirusOutbreak #COVID19 #anxiety #germaphobe URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1254610373161828352,Azaan is not an essential religious practice and is hence not protected by the constitution. Don’t BS your way around this please. Stop provoking people in the name of religion. Suggest you spend time helping society defeat #COVID19 #IndiaFightsCoronavirus,not stigmatizing,Other,,17
https://twitter.com/edent/status/1240491611848495104,"Maharashtra: People in Nagpur take on the streets to exercise and Walk after all the gyms in the state are shut due to #Coronavirus. 
 

 Hardeep Bhatia, a local says, ""We are building our immunity system by exercising.""
 

  #coronavirus URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1235623230741909504,"Due to global circumstances resulting from COVID-19 (#Coronavirus disease), we are expanding the capabilities on our free #Webex offer where it is available for those who are working from home. #cisco URL URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1238662395582656517,"💰 China Everywhere: The slowdown may be followed by a new wave of innovation. 
 What the #coronavirus outbreak tells us about the current state of #globalisation.
 

 #TradeWars #SupplyChain #brands . 
 

 URL",not stigmatizing,International politics,,17
https://twitter.com/edent/status/1241568785603219462,"I’m not from Australia,but this situation is crazy! 
 Until it’s proven that these drugs work for #COVID19 docs shouldn’t b writing scripts except for Lupus where they’re known to help. If proven,ramp up prod’n; make sure those w/Lupus have access while giving 2 patients w/COVID19.",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1240820489255346183,"Global recession in 2020 now seen as guaranteed as coronavirus outbreak ravages Europe, US #china #China #coronavirus #ChinaVirus #CoronaVirusUpdate #COVID19
 URL URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1250135162391875585,"They target to put a total area of 2600 acres under crop by end of April 2020. is keen to continue providing water for Irrigation across the country so as ensure steady supply of food in Kenya.
 #COVID19
 #StaySafe
  URL",not stigmatizing,News,,17
https://twitter.com/edent/status/1237079445350961152,"Government seems to be focused on cruise-ships and hand sanitizer.. 
 

 Meanwhile, ignoring the fact that planes are still flying and that we can get the virus through the air. URL",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1247935267308175361,"During today’s #COVID19 update the Government has recognised the importance of Hospices and the effect this #coronavirus pandemic is having on their fundraising and have dedicated £200 million for the Hospice sector! This is excellent news!  
 

 URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1246274061841264640,Scary but clever way to present URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1250055008168493057,"When #COVID19 meets racial capitalism. 
 

 ""Black, Latin American and South Asian Canadians have been the most likely to lose incomes and struggle to make ends meet as a result of the COVID-19 pandemic, a survey suggests.""
 

 URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1241263540608143361,NEWS: President Trump: American ‘Corrupt Media’ Siding with China URL #News #ShareTheNews #Coronavirus,not stigmatizing,Donald Trump; International politics,,17
https://twitter.com/edent/status/1239620117287362563,"Coronavirus Update 
 Country_Region: Austria
 Confirmed: 860 =&gt;  1018
 Deaths: 1 =&gt;  3
 Recovered: 6 =&gt;  8
 The data comes from: URL
 #Coronavirus #COVID19 #bot URL",not stigmatizing,COVID-19 cases and deaths statistics,,17
https://twitter.com/edent/status/1243646998470934528,"May not work in the ER, hospital, clinic.Just at a Pharmacy. Feels like we all being stretched-stretched way beon our limits. Greatful we have jobs, still open. Pray this business makes it through this Challenge we have. #payers #CoronaLockdown #pharmacy #pharmacyheroes #COVID19 URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1252956300184440838,The Real Avengers ! #coronavirus URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1247245087429591046,"Ok, this is good news. Glad to hear cooler heads are prevailing and not - y’know - condemning our healthcare workers to death. URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1237226839371702272,"China's leader, Xi Jinping, makes his first visit to the Coronavirus epicenter of Wuhan since the outbreak began. URL #coronavirus #china",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1241542219045068800,Chinese mainland reports zero increase in indigenous #COVID19 cases URL and why America must dump #trump a supreme grifter who cares only about himself and his #trumpcrimefamily in Nov or America is totally screwed!,not stigmatizing,Other,,17
https://twitter.com/edent/status/1238163064408526848,"Proved to ALL OF AMERICA, he does not care about any of you! He cares about himself so much he chose to attack and politicize #coronavirus hoping it is going to be his ticket to the White House. NEWS FLASH Joe, YOU WILL NEVER BE PRESIDENT. #SenileJoe",not stigmatizing,Other,,17
https://twitter.com/edent/status/1242500971835637761,"#HobbyLobby owner's wife message from God, Stay open! URL
 

 #Stayhome #BoycottHobbyLobby #Coronavirus #COVID19",not stigmatizing,Other,,17
https://twitter.com/edent/status/1246645965575950337,"So I have seen reporting of folks testing positive for #COVID19 and not having any symptoms.
 

 Why were those folks tested in the first place?🤔
 

 #Covid_19",not stigmatizing,Other,,17
https://twitter.com/edent/status/1245075921780068358,"It’s a razor’s edge we’re walking': inside the race to develop a coronavirus vaccine: #covid_19 #Coronavirus #MovingCuresForward #MissouriCures
 URL",not stigmatizing,Other,,17
https://twitter.com/edent/status/1238124106211414016,"#Coronavirus is Rapidly Spreading Across World. But by following these easy steps, you can easily protect yourself against the virus. 👇
 URL
 Share to spread awareness. 
 

 #CoronavirusPandemic #CoronaOutbreak",not stigmatizing,Other,,17
https://twitter.com/edent/status/1236823114924748801,Coronavirus pandemic has put a spotlight on the importance of handwashing - always important btw. So your friendly neighborhood dinosaur made a video to help you remember just how long you should be scrubbing with those bubbles! #coronavirus #handwashing #covid19 #COVID19seattle URL,not stigmatizing,Other,,17
https://twitter.com/edent/status/1240762554529353729,"The #covid19 virus can be mild or it can be very serious, Hinshaw says. Just because 80% of folks have mild symptoms, doesn't mean you should take it lightly b/c you could be spreading this to others with higher risk. Your train of transmission could cause deaths. #ableg #cdnpoli",not stigmatizing,Information or misinformation,,17
https://twitter.com/edent/status/1245130145893158912,"#ReTweet requests ‼️
 

 Drinking Water Emergency - #MakeThisRightNow
 

 We are told to Wash Our Hands ;  keep our homes clean!?
 

 Recommendations to stay hydrated which keeps us healthy ;  better able to combat #COVID19 
 

 ***!! Who feels okay washing their hands in this?
 

  URL URL",not stigmatizing,Other,,17
